nest,site,year,id,FF_date,FirstFound,Est_Age,Confidence,LastPresent,LastChecked,Unk_Period,Fail_Adj,Fate,MaxExposure,LikExposure,Age_Adj,StartAge,EndAge,UTM_zone,UTM_easting,UTM_northing,eggs,nestlings,fledged,height,mite_mid,mite_late,Freq,
76,BYRD,2019,76-BYRD-2019,4/26/2019,116,0,High,140,140,0,0,0,24,24,116,0,24,16T,405238,4424790,5,5,5,145,NA,NA,1,
77,BYRD,2019,77-BYRD-2019,4/25/2019,115,0,High,127,131,4,3,1,16,14,115,0,14,16T,405238,4424766,4,0,0,145,NA,NA,1,
78,BYRD,2019,78-BYRD-2019,5/2/2019,122,0,High,140,144,4,3,1,22,20,122,0,20,16T,405238,4424749,5,4,0,130,NA,NA,1,
80,BYRD,2019,80-BYRD-2019,4/25/2019,115,0,High,127,132,5,4,1,17,14.5,115,0,14.5,16T,405651,4424815,5,0,0,128,NA,NA,1,
81,BYRD,2019,81-BYRD-2019,4/24/2019,114,0,High,132,134,2,1,1,20,19,114,0,19,16T,405651,4424814,5,5,0,128,NA,NA,1,
83,BYRD,2019,83-BYRD-2019,4/22/2019,112,0,High,120,124,4,3,1,12,10,112,0,10,16T,405313,4424820,4,0,0,92,NA,NA,1,
85,BYRD,2019,85-BYRD-2019,4/25/2019,115,0,High,127,132,5,4,1,17,14.5,115,0,14.5,16T,405603,4424815,4,0,0,131,NA,NA,1,
86,BYRD,2019,86-BYRD-2019,4/23/2019,113,0,High,127,132,5,4,1,19,16.5,113,0,16.5,16T,405630,4424815,5,0,0,64,NA,NA,1,
87,BYRD,2019,87-BYRD-2019,4/29/2019,119,0,High,127,132,5,4,1,13,10.5,119,0,10.5,16T,405629,4424815,2,0,0,132,NA,NA,1,
90,BYRD,2019,90-BYRD-2019,4/29/2019,119,0,High,144,147,3,2,1,28,26.5,119,0,26.5,16T,405542,4424815,4,4,0,87,0,NA,1,
91,BYRD,2019,91-BYRD-2019,4/23/2019,113,0,High,141,141,0,0,0,28,28,113,0,28,16T,405586,4424817,5,4,4,66,0,0,1,
92,BYRD,2019,92-BYRD-2019,4/25/2019,115,0,High,140,141,1,0,1,26,25.5,115,0,25.5,16T,405602,4424816,5,5,0,72,0,NA,1,
93,BYRD,2019,93-BYRD-2019,4/25/2019,115,0,High,140,140,0,0,0,25,25,115,0,25,16T,405305,4424822,4,4,4,111,0,NA,1,
94,BYRD,2019,94-BYRD-2019,4/30/2019,120,0,High,137,140,3,2,1,20,18.5,120,0,18.5,16T,405279,4424817,3,3,0,97,NA,NA,1,
95,BYRD,2019,95-BYRD-2019,4/28/2019,118,0,High,147,147,0,0,0,29,29,118,0,29,16T,405260,4434821,5,4,4,117,0,13,1,
96,BYRD,2019,96-BYRD-2019,4/30/2019,120,0,High,140,144,4,3,1,24,22,120,0,22,16T,405552,4424814,4,4,0,103,0,NA,1,
97,BYRD,2019,97-BYRD-2019,5/5/2019,125,0,High,140,144,4,3,1,19,17,125,0,17,16T,405572,4424815,5,0,0,81,NA,NA,1,
98,BYRD,2019,98-BYRD-2019,5/2/2019,122,0,High,140,144,4,3,1,22,20,122,0,20,16T,405657,4424817,4,4,0,77,0,NA,1,
99,BYRD,2019,99-BYRD-2019,5/3/2019,123,0,High,127,132,5,4,1,9,6.5,123,0,6.5,16T,405654,4424814,2,0,0,93,NA,NA,1,
100,BYRD,2019,100-BYRD-2019,4/29/2019,119,0,High,127,132,5,4,1,13,10.5,119,0,10.5,16T,405669,4424812,5,0,0,74,NA,NA,1,
101,BYRD,2019,101-BYRD-2019,4/30/2019,120,0,High,127,132,5,4,1,12,9.5,120,0,9.5,16T,405676,4424814,5,0,0,95,NA,NA,1,
102,BYRD,2019,102-BYRD-2019,5/4/2019,124,20,Low,128,128,0,0,0,4,4,104,20,24,16T,405285,4424819,4,4,4,56,0,NA,1,
103,BYRD,2019,103-BYRD-2019,5/4/2019,124,8,Moderate,140,140,0,0,0,16,16,116,8,24,16T,405235,4424808,5,4,4,44,0,NA,1,
104,BYRD,2019,104-BYRD-2019,5/4/2019,124,4,Moderate,144,144,0,0,0,20,20,120,4,24,16T,405235,4424772,5,4,4,145,NA,NA,1,
105,BYRD,2019,105-BYRD-2019,5/4/2019,124,9,Moderate,140,140,0,0,0,16,16,115,9,25,16T,405237,4424770,5,5,3,113,NA,NA,1,
106,BYRD,2019,106-BYRD-2019,5/4/2019,124,3,High,147,147,0,0,0,23,23,121,3,26,16T,405237,4424756,5,4,4,106,0,NA,1,
107,BYRD,2019,107-BYRD-2019,5/4/2019,124,8,Moderate,137,140,3,2,1,16,14.5,116,8,22.5,16T,405615,4424814,5,4,0,131,NA,NA,1,
108,BYRD,2019,108-BYRD-2019,5/4/2019,124,2,High,144,147,3,2,1,23,21.5,122,2,23.5,16T,405616,4424815,5,5,0,105,0,NA,1,
109,BYRD,2019,109-BYRD-2019,5/4/2019,124,3,High,144,147,3,2,1,23,21.5,121,3,24.5,16T,405633,4424816,5,5,0,90,NA,NA,1,
110,BYRD,2019,110-BYRD-2019,5/4/2019,124,4,Very Low,127,132,5,4,1,8,5.5,120,4,9.5,16T,405677,4424814,1,0,0,66,NA,NA,1,
111,BYRD,2019,111-BYRD-2019,5/7/2019,127,2,High,141,144,3,2,1,17,15.5,125,2,17.5,16T,405565,4424820,5,1,0,69,NA,NA,1,
112,BYRD,2019,112-BYRD-2019,5/7/2019,127,1,Very Low,140,144,4,3,1,17,15,126,1,16,16T,405681,4424815,2,0,0,103,NA,NA,1,
113,BYRD,2019,113-BYRD-2019,5/11/2019,131,2,Low,134,137,3,2,1,6,4.5,129,2,6.5,16T,405321,4424819,4,0,0,122,NA,NA,1,
114,BYRD,2019,114-BYRD-2019,5/11/2019,131,6,Very Low,144,147,3,2,1,16,14.5,125,6,20.5,16T,405237,4424816,5,0,0,106,NA,NA,1,
115,BYRD,2019,115-BYRD-2019,5/11/2019,131,2,High,144,147,3,2,1,16,14.5,129,2,16.5,16T,405236,4424800,4,2,0,116,NA,NA,1,
116,BYRD,2019,116-BYRD-2019,5/11/2019,131,5,Moderate,150,150,0,0,0,19,19,126,5,24,16T,405236,4424791,5,3,3,135,0,NA,1,
117,BYRD,2019,117-BYRD-2019,5/14/2019,134,3,High,158,158,0,0,0,24,24,131,3,27,16T,405236,4424788,5,3,3,122,NA,250,1,
118,BYRD,2019,118-BYRD-2019,5/14/2019,134,9,Very Low,158,158,0,0,1,24,24,125,9,33,16T,405245,4424768,5,0,0,143,NA,NA,1,
119,BYRD,2019,119-BYRD-2019,5/20/2019,140,2,High,162,162,0,0,0,22,22,138,2,24,16T,405647,4424815,4,4,3,55,0,0,1,
120,BYRD,2019,120-BYRD-2019,5/20/2019,140,17,Low,147,147,0,0,0,7,7,123,17,24,16T,405362,4424821,5,5,5,95,0,0,1,
121,BYRD,2019,121-BYRD-2019,5/20/2019,140,17,Low,147,147,0,0,0,7,7,123,17,24,16T,405315,4424819,5,5,4,116,0,6,1,
122,BYRD,2019,122-BYRD-2019,5/20/2019,140,11,Low,154,154,0,0,0,14,14,129,11,25,16T,405270,4424818,3,3,3,124,0,10,1,
